course_number,title,hours,cluster,desc,terms,optional,instructors,prereq
16.00,Introduction to Aerospace and Design,2-2-2 units,,"Highlights fundamental concepts and practices of aerospace engineering through lectures on aeronautics, astronautics, and the principles of project design and execution. Provides training in the use of Course 16 workshop tools and 3-D printers, and in computational tools, such as CAD. Students engage in teambuilding during an immersive, semester-long project in which teams design, build, and fly radio-controlled lighter-than-air (LTA) vehicles. Emphasizes connections between theory and practice and introduces students to fundamental systems engineering practices, such as oral and written design reviews, performance estimation, and post-flight performance analysis. ","['U (Spring)', 'Not offered regularly; consult department']",,"J. A. Hoffman, R. J. Hansman",Prereq: None 
16.001,Unified Engineering: Materials and Structures,5-1-6 units. REST,,"Presents fundamental principles and methods of materials and structures for aerospace engineering, and engineering analysis and design concepts applied to aerospace systems. Topics include statics; analysis of trusses; analysis of statically determinate and indeterminate systems; stress-strain behavior of materials; analysis of beam bending, buckling, and torsion; material and structural failure, including plasticity, fracture, fatigue, and their physical causes. Experiential lab and aerospace system projects provide additional aerospace context. ",U (Fall),,"R. Radovitzky, D. L. Darmofal",Prereq: Calculus II (GIR) and Physics I (GIR); Coreq: 16.002 and 18.03 
16.002,Unified Engineering: Signals and Systems,5-1-6 units,,"Presents fundamental principles and methods of signals and systems for aerospace engineering, and engineering analysis and design concepts applied to aerospace systems. Topics include linear and time invariant systems; convolution; Fourier and Laplace transform analysis in continuous and discrete time; modulation, filtering, and sampling; and an introduction to feedback control. Experiential lab and system projects provide additional aerospace context. Labs, projects, and assignments involve the use of software such as MATLAB and/or Python. ",U (Fall),,J. P. How,"Prereq: Calculus II (GIR); Coreq: Physics II (GIR), 16.001, and (18.03 or 18.032) "
16.003,Unified Engineering: Fluid Dynamics,5-1-6 units,,"Presents fundamental principles and methods of fluid dynamics for aerospace engineering, and engineering analysis and design concepts applied to aerospace systems. Topics include aircraft and aerodynamic performance, conservation laws for fluid flows, quasi-one-dimensional compressible flows, shock and expansion waves, streamline curvature, potential flow modeling, an introduction to three-dimensional wings and induced drag. Experiential lab and aerospace system projects provide additional aerospace context. ",U (Spring),,D. L. Darmofal,"Prereq: Calculus II (GIR), Physics II (GIR), and (18.03 or 18.032); Coreq: 16.004 "
16.004,Unified Engineering: Thermodynamics and Propulsion,5-1-6 units,,"Presents fundamental principles and methods of thermodynamics for aerospace engineering, and engineering analysis and design concepts applied to aerospace systems. Topics include thermodynamic state of a system, forms of energy, work, heat, the first law of thermodynamics, heat engines, reversible and irreversible processes, entropy and the second law of thermodynamics, ideal and non-ideal cycle analysis, two-phase systems, and introductions to thermochemistry and heat transfer. Experiential lab and aerospace system projects provide additional aerospace context. ",U (Spring),,"Z. S. Spakovszky, D. L. Darmofal","Prereq: Calculus II (GIR), Physics II (GIR), and (18.03 or 18.032); Coreq: Chemistry (GIR) and 16.003 "
16.06,Principles of Automatic Control,3-1-8 units,,"Introduction to design of feedback control systems. Properties and advantages of feedback systems. Time-domain and frequency-domain performance measures. Stability and degree of stability. Root locus method, Nyquist criterion, frequency-domain design, and some state space methods. Strong emphasis on the synthesis of classical controllers. Application to a variety of aerospace systems. Hands-on experiments using simple robotic systems. ",U (Spring),,S. R. Hall,Prereq: 16.002 
16.07,Dynamics,4-0-8 units,,"Fundamentals of Newtonian mechanics. Kinematics, particle dynamics, motion relative to accelerated reference frames, work and energy, impulse and momentum, systems of particles and rigid body dynamics. Applications to aerospace engineering including introductory topics in orbital mechanics, flight dynamics, inertial navigation and attitude dynamics. ",U (Fall),,R. Linares,Prereq: (16.001 or 16.002) and (16.003 or 16.004) 
16.09,Statistics and Probability,4-0-8 units,,"Introduction to statistics and probability with applications to aerospace engineering. Covers essential topics, such as sample space, discrete and continuous random variables, probability distributions, joint and conditional distributions, expectation, transformation of random variables, limit theorems, estimation theory, hypothesis testing, confidence intervals, statistical tests, and regression. ",U (Spring),,Y. M. Marzouk,Prereq: Calculus II (GIR) 
16.100,Aerodynamics,3-1-8 units,,"Extends fluid mechanic concepts from Unified Engineering to aerodynamic performance of wings and bodies in sub/supersonic regimes. Addresses themes such as subsonic potential flows, including source/vortex panel methods; viscous flows, including laminar and turbulent boundary layers; aerodynamics of airfoils and wings, including thin airfoil theory, lifting line theory, and panel method/interacting boundary layer methods; and supersonic and hypersonic airfoil theory. Material may vary from year to year depending upon focus of design problem. ",U (Fall),,D. L. Darmofal,Prereq: 16.003 and 16.004 
16.101,Topics in Fluids and Propulsion,Units arranged,,Provides credit for work on undergraduate-level material in fluids or propulsion outside of regularly scheduled subjects. Intended for transfer credit and study abroad. Credit may be used to satisfy specific degree requirements in the Course 16 program. Requires prior approval. Consult department. ,"['U (Fall, IAP, Spring)', 'Not offered regularly; consult department']",Can be repeated for credit.,J. P. How,Prereq: Permission of department 
