name,school_affiliation,keywords
Nicholas de Monchaux,architecture,"Discrete-to-Complete: The Fundamentals of Design Directed Robotics; The Renovation of East Campus: Control and Culture; SpaceCHI 2.0: Advancing Human-Computer Interaction Systems for Space Exploration; Accurate-ish; Affective Matter: A Haptic Material Modality for Emotion Regulation and Communication; Fourth Dimension; Surveilling Sin: Locating Sodomy in the Early Modern Florentine Bathhouse; Machine Learning Simulation of Pedestrians Exploring the Built Environment; Drawing Participation: Histories of Geospatial Computing, Professional Silos, and Computational Potentials for Collaboration in Planning and Design; Reconciling Social Housing and access to urbanity in Rio de Janeiro; The Houseful(l)ness of Public Space; Space of mind The Hidden Architecture in the Time of Pandemic; Untold Narratives: Realizing Personal Design Identities; Collecting Ideals: Re-envisioning ejidos as climate-action platforms; After aura : authorship, automation, authenticity; Linking design to finance : enabling a co-operative developer platform through automated design and valuation; Painting with data : from a computational history of urban models to an alternative urban computing; Feather weights : rapid redeployable structures for interim use"
Terry W. Knight,architecture,"Textile precision for customized assemblies; Spatial experience in humans and machines; Material matters : process of intuitive design; Gaming and the simulation of history constructing perspectives of Machu Picchu; [I³] imitation, iteration and improvisation : embodied interaction in computational making and learning; Computing with matter, shapes, and forces : toward material and structural primacy in architecture; Painting with data : from a computational history of urban models to an alternative urban computing; Making grammars: From computing with shapes to computing with things; Shapes and Other Things; Transformational design : a mindful practice for experience-driven design; EthnoComputation : on Weaving Grammars for architectural design; The living commons : a spatial theory for biological design; Builders of the vision : technology and the imagination of design; D-work innovation : where, when and in which social context do good ideas evolve in the distributed work environment of knowledge workers?; Design by searching : a system for creating and evaluating complex architectural assemblies; Understanding behavior with ubiquitous computing for architectural design; Poetics of furniture : augmenting furniture with technologies; Design procedures : a computational framework for parametric design and complex shapes in architecture; Randomness as a generative principle in art and architecture; A study of illegal housing of Lisbon built in 1974 to 1984 : from description to computation"
Timothy Hyde,architecture,"Power and Punishment: Architecture and Violence in the Italian Renaissance; On Viscous Grounds: Planning for Friction across the Trans-Alaska Pipeline, 1968-1981; Who Cares? Assemblies of Care-and-Repair; Fourth Dimension; Coping With Neighbors & other entanglements; Surveilling Sin: Locating Sodomy in the Early Modern Florentine Bathhouse; The Integrated State: Architecture, Planning, and Politics in Mexico, 1938-1958; Planning the ""Multiracial City"" : architecture, decolonization and the design of stability in British Africa (1945-1957); Migrant sarifa settlements and state-Building in Iraq; The Raffles Museum in the shift from nature to culture; Sichuan fog -- architecture and moisture; The missing designers : a history of activists designing for racial justice; Diriyah narrated by Its built environment : the story of the first Saudi State (1744-1818); Building Mughal Burhanpur; Geographies of Cuban Abstraction; On display : the strategy of ""flattening"" in the Selfie Museum and its relevance for architecture; Industrial/statecraft : infrastructure and the making of industrial capitalism in India, ca. 1940; American sanctuary : architecture & (in)justice; Space for one; Reconstruction on display : Arkitektenes høstutstilling 1947-1949 as site for disciplinary formation"
Judith Barry,architecture,
Arindam Dutta,architecture,
John E. Fernández,architecture,
Antón García-Abril,architecture,
Leon R. Glicksman,architecture,
Renée Green,architecture,
Mark Jarzombek,architecture,
Caroline A. Jones,architecture,"""Scraping and Bloodletting"": Xiamen Dada and the Self-Renewing System of Reform-Era Art; Fourth Dimension; Coping With Neighbors & other entanglements; Surveilling Sin: Locating Sodomy in the Early Modern Florentine Bathhouse; Finding the In-between Space; Systems of Becoming: Mediating Dialogue between Nature and Design; The Chinatown stories : investigating water (in)justice through transmedia urban design in the L.A. River; Being in the world as if there's nothing from the first : a praxis-framework for emergence; Migrant sarifa settlements and state-Building in Iraq; The Raffles Museum in the shift from nature to culture; Pedagogy of the fourth wall : toward a time-based architecture; Objects of home : a place for architecture in the making of street-homes; Reviving cosmopolitan Beirut : a case study of three modernist art spaces; Constructing virtual reality exhibitions with multimodal interactions; The aesthetics of decentralization; On display : the strategy of ""flattening"" in the Selfie Museum and its relevance for architecture; Cultural mandates, artistic missions, and ""The Welfare of Palestine,"" 1876-1948; Viral visions : art, activism, and epidemiology in the global AIDS pandemic; The work of art in the age of its technoscientific re-enhancement : recasting light, Colloids, and microbes for art and heritage conservation in U.S. and Italian laboratories; Color : functional organization and behavior"
Sheila Kennedy,architecture,"Lavender@MIT: The Case for an All-Gender Restroom Paradigm on the MIT Campus; Beyond the Brick: Collaborations with a Sensing Microbial System in the Built Environment; As the Curtain Falls; Forest Framing; Who Cares? Assemblies of Care-and-Repair; Inhabiting Wetness; Rebuilding the Edge: The Case of the Sulmona–Carpinone Railway and the Town of Pettorano sul Gizio; Coping With Neighbors & other entanglements; Augmenting the living plant mesophyll into a photonic capacitor; Untold Narratives: Realizing Personal Design Identities; NIGHTRISE Through the Valley of Jabal ‘Amil’s Shadow; heirlooms in search of the fifth ecology; Third Landscape; M.I.celium mexicanus: Rejecting Modernity through Zapotec Futurism; MASS BALANCE: Design strategies for lightweight, thermally massive construction systems; The factory of coexistence; COLORZOOM; MISSION 2066 : a national park for the Antrhopocene; Tremulous lines : the alternative history of a site of exception; Parametric design and performance validation of low-cost, low-pressure drip emitters and irrigation systems"
Ana Miljački,architecture,"“Professionals in a Soviet America” Federal Housing Policy, the Popular Front, and Architects in Los Angeles, 1919–1947; Fukushima Exclusion Zone Survival Handbook; a taste of home; Still Standing: Cooperative strategies for the renovation of Soviet mass housing; To know is to empower : Chagos institute of environmental humanities; After aura : authorship, automation, authenticity; Planning the ""Multiracial City"" : architecture, decolonization and the design of stability in British Africa (1945-1957); One degree removed : the last carnival of Venice; How to read the self-building manual : houses, self-builders, and experts in Mexico; Making kin : landscape, material and senses; Other stories; Digital nomads : space + narrative computing for the village of Al Araqib; bagging; Spaces of arrival : swamp as a terrain of contestation in Cartagena, Colombia; Fourth Belgrade : story about reclaiming land; Low fidelity; Many mini model homes; Ornament because of crime : learning from Mafia Baroque; There will be floods : a material remembrance of Presidents Island, Memphis; Architecture incorporated : authorship, anonymity, and collaboration in postwar modernism"
